delta,total_rp_imp,total_jpp_imp,diferencia_imputable,brecha_contrafactual,rp_gana_segunda_vuelta
-0.03,10651.202137703578,242.58873157003814,10408.61340613354,10408.61340613354,TRUE
-0.024999999999999998,10497.482137703579,283.10283627390925,10214.37930142967,10214.37930142967,TRUE
-0.019999999999999997,10343.76213770358,336.0984771605794,10007.663660543,10007.663660543,TRUE
-0.015,10190.042137703578,408.40466257882827,9781.63747512475,9781.63747512475,TRUE
-0.009999999999999998,10036.322137703579,502.5574323824511,9533.764705321128,9533.764705321128,TRUE
-0.0049999999999999975,9882.602137703578,620.3232464714481,9262.27889123213,9262.27889123213,TRUE
0,9728.882137703578,763.6181792578179,8965.263958445761,8965.263958445761,TRUE
0.0050000000000000044,9575.162137703579,924.5781792578181,8650.58395844576,8650.58395844576,TRUE
0.010000000000000002,9421.442137703578,1085.538179257818,8335.90395844576,8335.90395844576,TRUE
0.015,9267.76118025677,1246.4981792578178,8021.263000998952,8021.263000998952,TRUE
0.020000000000000004,9114.12618025677,1407.458179257818,7706.668000998951,7706.668000998951,TRUE
0.025,8960.49118025677,1568.4181792578179,7392.073000998951,7392.073000998951,TRUE
0.03,8806.85618025677,1729.378179257818,7077.478000998952,7077.478000998952,TRUE
